V15,day,period
4,Sunday,P31
15,Sunday,P32
5,Sunday,P33
1,Sunday,P34
3,Sunday,P35
20,Sunday,P36
5,Sunday,P37
10,Sunday,P38
9,Sunday,P39
19,Sunday,P40
2,Sunday,P41
9,Sunday,P42
1,Sunday,P43
15,Sunday,P44
0,Sunday,P45
0,Sunday,P46
6,Sunday,P47
3,Monday,P0
1,Monday,P1
2,Monday,P2
0,Monday,P3
0,Monday,P4
0,Monday,P5
1,Monday,P6
1,Monday,P7
2,Monday,P8
0,Monday,P9
0,Monday,P10
0,Monday,P11
4,Monday,P12
6,Monday,P13
2,Monday,P14
14,Monday,P15
3,Monday,P16
15,Monday,P17
6,Monday,P18
11,Monday,P19
17,Monday,P20
2,Monday,P21
6,Monday,P22
12,Monday,P23
9,Monday,P24
6,Monday,P25
2,Monday,P26
14,Monday,P27
6,Monday,P28
2,Monday,P29
0,Monday,P30
3,Monday,P31
17,Monday,P32
2,Monday,P33
2,Monday,P34
3,Monday,P35
16,Monday,P36
7,Monday,P37
4,Monday,P38
9,Monday,P39
6,Monday,P40
15,Monday,P41
1,Monday,P42
3,Monday,P43
5,Monday,P44
2,Monday,P45
0,Monday,P46
3,Monday,P47
3,Tuesday,P0
0,Tuesday,P1
0,Tuesday,P2
0,Tuesday,P3
0,Tuesday,P4
0,Tuesday,P5
0,Tuesday,P6
0,Tuesday,P7
0,Tuesday,P8
0,Tuesday,P9
0,Tuesday,P10
1,Tuesday,P11
1,Tuesday,P12
4,Tuesday,P13
0,Tuesday,P14
6,Tuesday,P15
3,Tuesday,P16
24,Tuesday,P17
6,Tuesday,P18
9,Tuesday,P19
19,Tuesday,P20
3,Tuesday,P21
2,Tuesday,P22
11,Tuesday,P23
12,Tuesday,P24
4,Tuesday,P25
1,Tuesday,P26
11,Tuesday,P27
13,Tuesday,P28
5,Tuesday,P29
1,Tuesday,P30
5,Tuesday,P31
15,Tuesday,P32
4,Tuesday,P33
3,Tuesday,P34
1,Tuesday,P35
10,Tuesday,P36
8,Tuesday,P37
5,Tuesday,P38
3,Tuesday,P39
11,Tuesday,P40
5,Tuesday,P41
2,Tuesday,P42
5,Tuesday,P43
0,Tuesday,P44
0,Tuesday,P45
1,Tuesday,P46
4,Tuesday,P47
0,Wednesday,P0
0,Wednesday,P1
0,Wednesday,P2
0,Wednesday,P3
0,Wednesday,P4
0,Wednesday,P5
2,Wednesday,P6
0,Wednesday,P7
0,Wednesday,P8
1,Wednesday,P9
0,Wednesday,P10
4,Wednesday,P11
3,Wednesday,P12
2,Wednesday,P13
2,Wednesday,P14
5,Wednesday,P15
2,Wednesday,P16
18,Wednesday,P17
6,Wednesday,P18
20,Wednesday,P19
9,Wednesday,P20
1,Wednesday,P21
3,Wednesday,P22
19,Wednesday,P23
3,Wednesday,P24
1,Wednesday,P25
6,Wednesday,P26
13,Wednesday,P27
10,Wednesday,P28
1,Wednesday,P29
2,Wednesday,P30
12,Wednesday,P31
6,Wednesday,P32
3,Wednesday,P33
1,Wednesday,P34
6,Wednesday,P35
2,Wednesday,P36
11,Wednesday,P37
2,Wednesday,P38
11,Wednesday,P39
1,Wednesday,P40
6,Wednesday,P41
2,Wednesday,P42
4,Wednesday,P43
8,Wednesday,P44
1,Wednesday,P45
0,Wednesday,P46
3,Wednesday,P47
0,Thursday,P0
0,Thursday,P1
0,Thursday,P2
0,Thursday,P3
0,Thursday,P4
0,Thursday,P5
0,Thursday,P6
0,Thursday,P7
0,Thursday,P8
1,Thursday,P9
0,Thursday,P10
0,Thursday,P11
4,Thursday,P12
1,Thursday,P13
1,Thursday,P14
8,Thursday,P15
5,Thursday,P16
22,Thursday,P17
6,Thursday,P18
15,Thursday,P19
12,Thursday,P20
2,Thursday,P21
3,Thursday,P22
5,Thursday,P23
10,Thursday,P24
4,Thursday,P25
7,Thursday,P26
18,Thursday,P27
5,Thursday,P28
2,Thursday,P29
2,Thursday,P30
20,Thursday,P31
4,Thursday,P32
3,Thursday,P33
4,Thursday,P34
16,Thursday,P35
5,Thursday,P36
12,Thursday,P37
3,Thursday,P38
3,Thursday,P39
14,Thursday,P40
5,Thursday,P41
0,Thursday,P42
5,Thursday,P43
2,Thursday,P44
1,Thursday,P45
1,Thursday,P46
