V15,day,period
21,Sunday,P39
9,Sunday,P40
10,Sunday,P41
3,Sunday,P42
16,Sunday,P43
1,Sunday,P44
0,Sunday,P45
0,Sunday,P46
8,Sunday,P47
5,Monday,P0
1,Monday,P1
0,Monday,P2
0,Monday,P3
0,Monday,P4
0,Monday,P5
0,Monday,P6
1,Monday,P7
0,Monday,P8
0,Monday,P9
0,Monday,P10
1,Monday,P11
2,Monday,P12
0,Monday,P13
5,Monday,P14
14,Monday,P15
5,Monday,P16
14,Monday,P17
2,Monday,P18
26,Monday,P19
10,Monday,P20
6,Monday,P21
4,Monday,P22
25,Monday,P23
3,Monday,P24
6,Monday,P25
2,Monday,P26
26,Monday,P27
6,Monday,P28
3,Monday,P29
3,Monday,P30
11,Monday,P31
8,Monday,P32
1,Monday,P33
2,Monday,P34
13,Monday,P35
3,Monday,P36
5,Monday,P37
6,Monday,P38
14,Monday,P39
3,Monday,P40
13,Monday,P41
2,Monday,P42
4,Monday,P43
1,Monday,P44
2,Monday,P45
2,Monday,P46
5,Monday,P47
0,Tuesday,P0
0,Tuesday,P1
0,Tuesday,P2
0,Tuesday,P3
0,Tuesday,P4
0,Tuesday,P5
1,Tuesday,P6
1,Tuesday,P7
0,Tuesday,P8
0,Tuesday,P9
0,Tuesday,P10
1,Tuesday,P11
1,Tuesday,P12
0,Tuesday,P13
5,Tuesday,P14
8,Tuesday,P15
4,Tuesday,P16
16,Tuesday,P17
4,Tuesday,P18
19,Tuesday,P19
8,Tuesday,P20
0,Tuesday,P21
1,Tuesday,P22
11,Tuesday,P23
15,Tuesday,P24
5,Tuesday,P25
1,Tuesday,P26
13,Tuesday,P27
6,Tuesday,P28
1,Tuesday,P29
0,Tuesday,P30
5,Tuesday,P31
9,Tuesday,P32
1,Tuesday,P33
0,Tuesday,P34
14,Tuesday,P35
2,Tuesday,P36
3,Tuesday,P37
3,Tuesday,P38
8,Tuesday,P39
2,Tuesday,P40
11,Tuesday,P41
0,Tuesday,P42
4,Tuesday,P43
2,Tuesday,P44
0,Tuesday,P45
0,Tuesday,P46
10,Tuesday,P47
0,Wednesday,P0
1,Wednesday,P1
1,Wednesday,P2
0,Wednesday,P3
2,Wednesday,P4
0,Wednesday,P5
0,Wednesday,P6
2,Wednesday,P7
0,Wednesday,P8
1,Wednesday,P9
1,Wednesday,P10
3,Wednesday,P11
1,Wednesday,P12
1,Wednesday,P13
7,Wednesday,P14
11,Wednesday,P15
3,Wednesday,P16
17,Wednesday,P17
3,Wednesday,P18
26,Wednesday,P19
3,Wednesday,P20
1,Wednesday,P21
1,Wednesday,P22
20,Wednesday,P23
7,Wednesday,P24
1,Wednesday,P25
3,Wednesday,P26
21,Wednesday,P27
3,Wednesday,P28
2,Wednesday,P29
1,Wednesday,P30
9,Wednesday,P31
7,Wednesday,P32
3,Wednesday,P33
1,Wednesday,P34
17,Wednesday,P35
0,Wednesday,P36
19,Wednesday,P37
2,Wednesday,P38
14,Wednesday,P39
8,Wednesday,P40
5,Wednesday,P41
4,Wednesday,P42
7,Wednesday,P43
2,Wednesday,P44
4,Wednesday,P45
0,Wednesday,P46
5,Wednesday,P47
0,Thursday,P0
1,Thursday,P1
0,Thursday,P2
0,Thursday,P3
0,Thursday,P4
0,Thursday,P5
0,Thursday,P6
0,Thursday,P7
0,Thursday,P8
1,Thursday,P9
0,Thursday,P10
0,Thursday,P11
2,Thursday,P12
3,Thursday,P13
4,Thursday,P14
17,Thursday,P15
6,Thursday,P16
15,Thursday,P17
3,Thursday,P18
20,Thursday,P19
8,Thursday,P20
0,Thursday,P21
1,Thursday,P22
28,Thursday,P23
6,Thursday,P24
3,Thursday,P25
3,Thursday,P26
19,Thursday,P27
3,Thursday,P28
3,Thursday,P29
3,Thursday,P30
12,Thursday,P31
3,Thursday,P32
3,Thursday,P33
0,Thursday,P34
21,Thursday,P35
2,Thursday,P36
6,Thursday,P37
3,Thursday,P38
16,Thursday,P39
2,Thursday,P40
6,Thursday,P41
0,Thursday,P42
7,Thursday,P43
2,Thursday,P44
2,Thursday,P45
0,Thursday,P46
4,Thursday,P47
0,Friday,P0
0,Friday,P1
2,Friday,P2
2,Friday,P3
0,Friday,P4
0,Friday,P5
1,Friday,P6
0,Friday,P7
0,Friday,P8
0,Friday,P9
1,Friday,P10
2,Friday,P11
3,Friday,P12
2,Friday,P13
5,Friday,P14
7,Friday,P15
4,Friday,P16
12,Friday,P17
7,Friday,P18
8,Friday,P19
15,Friday,P20
1,Friday,P21
2,Friday,P22
23,Friday,P23
2,Friday,P24
3,Friday,P25
2,Friday,P26
19,Friday,P27
7,Friday,P28
1,Friday,P29
6,Friday,P30
18,Friday,P31
5,Friday,P32
0,Friday,P33
3,Friday,P34
22,Friday,P35
6,Friday,P36
7,Friday,P37
10,Friday,P38
8,Friday,P39
14,Friday,P40
15,Friday,P41
0,Friday,P42
15,Friday,P43
5,Friday,P44
0,Friday,P45
0,Friday,P46
5,Friday,P47
3,Saturday,P0
3,Saturday,P1
1,Saturday,P2
1,Saturday,P3
0,Saturday,P4
0,Saturday,P5
2,Saturday,P6
1,Saturday,P7
0,Saturday,P8
1,Saturday,P9
0,Saturday,P10
2,Saturday,P11
1,Saturday,P12
1,Saturday,P13
2,Saturday,P14
2,Saturday,P15
2,Saturday,P16
3,Saturday,P17
3,Saturday,P18
8,Saturday,P19
5,Saturday,P20
3,Saturday,P21
3,Saturday,P22
19,Saturday,P23
2,Saturday,P24
2,Saturday,P25
8,Saturday,P26
19,Saturday,P27
2,Saturday,P28
4,Saturday,P29
4,Saturday,P30
21,Saturday,P31
3,Saturday,P32
2,Saturday,P33
0,Saturday,P34
12,Saturday,P35
1,Saturday,P36
11,Saturday,P37
3,Saturday,P38
11,Saturday,P39
10,Saturday,P40
4,Saturday,P41
3,Saturday,P42
6,Saturday,P43
4,Saturday,P44
0,Saturday,P45
2,Saturday,P46
5,Saturday,P47
3,Sunday,P0
0,Sunday,P1
0,Sunday,P2
3,Sunday,P3
0,Sunday,P4
0,Sunday,P5
0,Sunday,P6
0,Sunday,P7
0,Sunday,P8
3,Sunday,P9
0,Sunday,P10
1,Sunday,P11
3,Sunday,P12
2,Sunday,P13
2,Sunday,P14
2,Sunday,P15
2,Sunday,P16
8,Sunday,P17
2,Sunday,P18
3,Sunday,P19
4,Sunday,P20
1,Sunday,P21
2,Sunday,P22
19,Sunday,P23
7,Sunday,P24
2,Sunday,P25
1,Sunday,P26
10,Sunday,P27
6,Sunday,P28
0,Sunday,P29
2,Sunday,P30
18,Sunday,P31
3,Sunday,P32
2,Sunday,P33
1,Sunday,P34
22,Sunday,P35
3,Sunday,P36
12,Sunday,P37
2,Sunday,P38
17,Sunday,P39
9,Sunday,P40
9,Sunday,P41
0,Sunday,P42
11,Sunday,P43
3,Sunday,P44
0,Sunday,P45
0,Sunday,P46
3,Sunday,P47
13,Monday,P0
0,Monday,P1
1,Monday,P2
1,Monday,P3
0,Monday,P4
0,Monday,P5
0,Monday,P6
0,Monday,P7
0,Monday,P8
1,Monday,P9
0,Monday,P10
1,Monday,P11
1,Monday,P12
3,Monday,P13
2,Monday,P14
17,Monday,P15
4,Monday,P16
21,Monday,P17
9,Monday,P18
13,Monday,P19
20,Monday,P20
2,Monday,P21
3,Monday,P22
9,Monday,P23
22,Monday,P24
7,Monday,P25
4,Monday,P26
24,Monday,P27
7,Monday,P28
3,Monday,P29
3,Monday,P30
13,Monday,P31
3,Monday,P32
1,Monday,P33
0,Monday,P34
19,Monday,P35
4,Monday,P36
1,Monday,P37
1,Monday,P38
5,Monday,P39
13,Monday,P40
2,Monday,P41
3,Monday,P42
9,Monday,P43
3,Monday,P44
0,Monday,P45
0,Monday,P46
3,Monday,P47
1,Tuesday,P0
1,Tuesday,P1
1,Tuesday,P2
0,Tuesday,P3
0,Tuesday,P4
1,Tuesday,P5
0,Tuesday,P6
0,Tuesday,P7
0,Tuesday,P8
0,Tuesday,P9
0,Tuesday,P10
3,Tuesday,P11
3,Tuesday,P12
1,Tuesday,P13
2,Tuesday,P14
12,Tuesday,P15
8,Tuesday,P16
22,Tuesday,P17
6,Tuesday,P18
14,Tuesday,P19
13,Tuesday,P20
1,Tuesday,P21
3,Tuesday,P22
17,Tuesday,P23
7,Tuesday,P24
8,Tuesday,P25
2,Tuesday,P26
17,Tuesday,P27
11,Tuesday,P28
1,Tuesday,P29
6,Tuesday,P30
9,Tuesday,P31
7,Tuesday,P32
2,Tuesday,P33
3,Tuesday,P34
19,Tuesday,P35
7,Tuesday,P36
6,Tuesday,P37
4,Tuesday,P38
14,Tuesday,P39
1,Tuesday,P40
10,Tuesday,P41
4,Tuesday,P42
3,Tuesday,P43
5,Tuesday,P44
0,Tuesday,P45
2,Tuesday,P46
4,Tuesday,P47
1,Wednesday,P0
2,Wednesday,P1
0,Wednesday,P2
0,Wednesday,P3
0,Wednesday,P4
0,Wednesday,P5
2,Wednesday,P6
0,Wednesday,P7
1,Wednesday,P8
0,Wednesday,P9
2,Wednesday,P10
1,Wednesday,P11
2,Wednesday,P12
1,Wednesday,P13
2,Wednesday,P14
16,Wednesday,P15
1,Wednesday,P16
22,Wednesday,P17
6,Wednesday,P18
21,Wednesday,P19
5,Wednesday,P20
2,Wednesday,P21
2,Wednesday,P22
15,Wednesday,P23
8,Wednesday,P24
4,Wednesday,P25
3,Wednesday,P26
13,Wednesday,P27
20,Wednesday,P28
3,Wednesday,P29
3,Wednesday,P30
13,Wednesday,P31
5,Wednesday,P32
6,Wednesday,P33
2,Wednesday,P34
9,Wednesday,P35
5,Wednesday,P36
1,Wednesday,P37
13,Wednesday,P38
6,Wednesday,P39
7,Wednesday,P40
8,Wednesday,P41
3,Wednesday,P42
9,Wednesday,P43
1,Wednesday,P44
2,Wednesday,P45
1,Wednesday,P46
3,Wednesday,P47
0,Thursday,P0
0,Thursday,P1
2,Thursday,P2
0,Thursday,P3
1,Thursday,P4
0,Thursday,P5
0,Thursday,P6
2,Thursday,P7
0,Thursday,P8
1,Thursday,P9
0,Thursday,P10
2,Thursday,P11
0,Thursday,P12
0,Thursday,P13
6,Thursday,P14
11,Thursday,P15
1,Thursday,P16
11,Thursday,P17
10,Thursday,P18
20,Thursday,P19
11,Thursday,P20
2,Thursday,P21
3,Thursday,P22
20,Thursday,P23
12,Thursday,P24
6,Thursday,P25
3,Thursday,P26
21,Thursday,P27
8,Thursday,P28
2,Thursday,P29
2,Thursday,P30
10,Thursday,P31
9,Thursday,P32
3,Thursday,P33
1,Thursday,P34
6,Thursday,P35
10,Thursday,P36
12,Thursday,P37
1,Thursday,P38
17,Thursday,P39
5,Thursday,P40
7,Thursday,P41
2,Thursday,P42
8,Thursday,P43
2,Thursday,P44
1,Thursday,P45
0,Thursday,P46
3,Thursday,P47
2,Friday,P0
1,Friday,P1
0,Friday,P2
0,Friday,P3
2,Friday,P4
0,Friday,P5
0,Friday,P6
0,Friday,P7
1,Friday,P8
1,Friday,P9
0,Friday,P10
4,Friday,P11
2,Friday,P12
3,Friday,P13
1,Friday,P14
9,Friday,P15
4,Friday,P16
18,Friday,P17
7,Friday,P18
14,Friday,P19
9,Friday,P20
2,Friday,P21
1,Friday,P22
22,Friday,P23
7,Friday,P24
3,Friday,P25
1,Friday,P26
24,Friday,P27
6,Friday,P28
3,Friday,P29
4,Friday,P30
16,Friday,P31
8,Friday,P32
2,Friday,P33
3,Friday,P34
21,Friday,P35
6,Friday,P36
15,Friday,P37
4,Friday,P38
12,Friday,P39
8,Friday,P40
10,Friday,P41
1,Friday,P42
14,Friday,P43
3,Friday,P44
1,Friday,P45
1,Friday,P46
3,Friday,P47
13,Saturday,P0
0,Saturday,P1
0,Saturday,P2
0,Saturday,P3
1,Saturday,P4
0,Saturday,P5
0,Saturday,P6
1,Saturday,P7
0,Saturday,P8
1,Saturday,P9
0,Saturday,P10
1,Saturday,P11
2,Saturday,P12
4,Saturday,P13
2,Saturday,P14
4,Saturday,P15
2,Saturday,P16
9,Saturday,P17
4,Saturday,P18
9,Saturday,P19
4,Saturday,P20
1,Saturday,P21
2,Saturday,P22
19,Saturday,P23
2,Saturday,P24
0,Saturday,P25
2,Saturday,P26
26,Saturday,P27
2,Saturday,P28
2,Saturday,P29
0,Saturday,P30
1,Saturday,P31
11,Saturday,P32
6,Saturday,P33
1,Saturday,P34
9,Saturday,P35
8,Saturday,P36
14,Saturday,P37
2,Saturday,P38
10,Saturday,P39
10,Saturday,P40
6,Saturday,P41
3,Saturday,P42
5,Saturday,P43
5,Saturday,P44
2,Saturday,P45
2,Saturday,P46
5,Saturday,P47
3,Sunday,P0
0,Sunday,P1
1,Sunday,P2
0,Sunday,P3
0,Sunday,P4
0,Sunday,P5
0,Sunday,P6
0,Sunday,P7
1,Sunday,P8
0,Sunday,P9
0,Sunday,P10
1,Sunday,P11
1,Sunday,P12
0,Sunday,P13
1,Sunday,P14
1,Sunday,P15
3,Sunday,P16
6,Sunday,P17
0,Sunday,P18
0,Sunday,P19
4,Sunday,P20
2,Sunday,P21
6,Sunday,P22
15,Sunday,P23
5,Sunday,P24
7,Sunday,P25
1,Sunday,P26
20,Sunday,P27
1,Sunday,P28
1,Sunday,P29
3,Sunday,P30
23,Sunday,P31
7,Sunday,P32
4,Sunday,P33
0,Sunday,P34
22,Sunday,P35
7,Sunday,P36
7,Sunday,P37
3,Sunday,P38
1,Sunday,P39
23,Sunday,P40
16,Sunday,P41
2,Sunday,P42
12,Sunday,P43
11,Sunday,P44
2,Sunday,P45
1,Sunday,P46
9,Sunday,P47
4,Monday,P0
0,Monday,P1
0,Monday,P2
0,Monday,P3
0,Monday,P4
0,Monday,P5
0,Monday,P6
0,Monday,P7
1,Monday,P8
0,Monday,P9
0,Monday,P10
0,Monday,P11
1,Monday,P12
0,Monday,P13
1,Monday,P14
16,Monday,P15
5,Monday,P16
25,Monday,P17
4,Monday,P18
15,Monday,P19
16,Monday,P20
4,Monday,P21
2,Monday,P22
32,Monday,P23
5,Monday,P24
6,Monday,P25
2,Monday,P26
26,Monday,P27
6,Monday,P28
1,Monday,P29
2,Monday,P30
17,Monday,P31
4,Monday,P32
3,Monday,P33
3,Monday,P34
22,Monday,P35
2,Monday,P36
8,Monday,P37
4,Monday,P38
10,Monday,P39
5,Monday,P40
10,Monday,P41
3,Monday,P42
3,Monday,P43
6,Monday,P44
1,Monday,P45
0,Monday,P46
3,Monday,P47
1,Tuesday,P0
0,Tuesday,P1
0,Tuesday,P2
1,Tuesday,P3
0,Tuesday,P4
0,Tuesday,P5
0,Tuesday,P6
0,Tuesday,P7
0,Tuesday,P8
0,Tuesday,P9
0,Tuesday,P10
2,Tuesday,P11
3,Tuesday,P12
0,Tuesday,P13
0,Tuesday,P14
12,Tuesday,P15
1,Tuesday,P16
17,Tuesday,P17
2,Tuesday,P18
22,Tuesday,P19
8,Tuesday,P20
0,Tuesday,P21
2,Tuesday,P22
19,Tuesday,P23
5,Tuesday,P24
1,Tuesday,P25
2,Tuesday,P26
20,Tuesday,P27
5,Tuesday,P28
2,Tuesday,P29
1,Tuesday,P30
16,Tuesday,P31
6,Tuesday,P32
2,Tuesday,P33
0,Tuesday,P34
13,Tuesday,P35
2,Tuesday,P36
8,Tuesday,P37
4,Tuesday,P38
15,Tuesday,P39
4,Tuesday,P40
6,Tuesday,P41
1,Tuesday,P42
5,Tuesday,P43
2,Tuesday,P44
1,Tuesday,P45
2,Tuesday,P46
5,Tuesday,P47
0,Wednesday,P0
0,Wednesday,P1
0,Wednesday,P2
3,Wednesday,P3
0,Wednesday,P4
2,Wednesday,P5
0,Wednesday,P6
0,Wednesday,P7
0,Wednesday,P8
0,Wednesday,P9
1,Wednesday,P10
3,Wednesday,P11
0,Wednesday,P12
2,Wednesday,P13
0,Wednesday,P14
16,Wednesday,P15
4,Wednesday,P16
25,Wednesday,P17
4,Wednesday,P18
10,Wednesday,P19
15,Wednesday,P20
4,Wednesday,P21
5,Wednesday,P22
30,Wednesday,P23
4,Wednesday,P24
3,Wednesday,P25
3,Wednesday,P26
15,Wednesday,P27
5,Wednesday,P28
1,Wednesday,P29
1,Wednesday,P30
20,Wednesday,P31
3,Wednesday,P32
4,Wednesday,P33
1,Wednesday,P34
17,Wednesday,P35
5,Wednesday,P36
13,Wednesday,P37
2,Wednesday,P38
13,Wednesday,P39
5,Wednesday,P40
16,Wednesday,P41
2,Wednesday,P42
4,Wednesday,P43
2,Wednesday,P44
0,Wednesday,P45
2,Wednesday,P46
6,Wednesday,P47
1,Thursday,P0
0,Thursday,P1
0,Thursday,P2
0,Thursday,P3
0,Thursday,P4
0,Thursday,P5
0,Thursday,P6
0,Thursday,P7
0,Thursday,P8
1,Thursday,P9
1,Thursday,P10
4,Thursday,P11
1,Thursday,P12
1,Thursday,P13
2,Thursday,P14
9,Thursday,P15
3,Thursday,P16
22,Thursday,P17
11,Thursday,P18
17,Thursday,P19
9,Thursday,P20
5,Thursday,P21
3,Thursday,P22
15,Thursday,P23
4,Thursday,P24
4,Thursday,P25
3,Thursday,P26
28,Thursday,P27
3,Thursday,P28
4,Thursday,P29
1,Thursday,P30
20,Thursday,P31
1,Thursday,P32
3,Thursday,P33
2,Thursday,P34
13,Thursday,P35
2,Thursday,P36
15,Thursday,P37
2,Thursday,P38
13,Thursday,P39
5,Thursday,P40
12,Thursday,P41
4,Thursday,P42
5,Thursday,P43
1,Thursday,P44
0,Thursday,P45
2,Thursday,P46
8,Thursday,P47
1,Friday,P0
0,Friday,P1
0,Friday,P2
0,Friday,P3
0,Friday,P4
0,Friday,P5
0,Friday,P6
0,Friday,P7
0,Friday,P8
0,Friday,P9
1,Friday,P10
2,Friday,P11
2,Friday,P12
1,Friday,P13
5,Friday,P14
15,Friday,P15
5,Friday,P16
21,Friday,P17
4,Friday,P18
29,Friday,P19
8,Friday,P20
1,Friday,P21
2,Friday,P22
12,Friday,P23
23,Friday,P24
5,Friday,P25
1,Friday,P26
7,Friday,P27
28,Friday,P28
5,Friday,P29
4,Friday,P30
11,Friday,P31
5,Friday,P32
1,Friday,P33
4,Friday,P34
25,Friday,P35
1,Friday,P36
3,Friday,P37
16,Friday,P38
14,Friday,P39
13,Friday,P40
10,Friday,P41
0,Friday,P42
10,Friday,P43
14,Friday,P44
1,Friday,P45
1,Friday,P46
12,Friday,P47
0,Saturday,P0
0,Saturday,P1
0,Saturday,P2
0,Saturday,P3
1,Saturday,P4
0,Saturday,P5
0,Saturday,P6
0,Saturday,P7
0,Saturday,P8
1,Saturday,P9
0,Saturday,P10
1,Saturday,P11
0,Saturday,P12
0,Saturday,P13
3,Saturday,P14
1,Saturday,P15
4,Saturday,P16
10,Saturday,P17
6,Saturday,P18
11,Saturday,P19
7,Saturday,P20
3,Saturday,P21
3,Saturday,P22
23,Saturday,P23
1,Saturday,P24
5,Saturday,P25
0,Saturday,P26
26,Saturday,P27
8,Saturday,P28
1,Saturday,P29
3,Saturday,P30
4,Saturday,P31
6,Saturday,P32
0,Saturday,P33
0,Saturday,P34
11,Saturday,P35
5,Saturday,P36
10,Saturday,P37
1,Saturday,P38
10,Saturday,P39
8,Saturday,P40
9,Saturday,P41
1,Saturday,P42
5,Saturday,P43
7,Saturday,P44
3,Saturday,P45
0,Saturday,P46
3,Saturday,P47
4,Sunday,P0
0,Sunday,P1
1,Sunday,P2
1,Sunday,P3
1,Sunday,P4
0,Sunday,P5
0,Sunday,P6
0,Sunday,P7
0,Sunday,P8
0,Sunday,P9
1,Sunday,P10
4,Sunday,P11
1,Sunday,P12
1,Sunday,P13
1,Sunday,P14
3,Sunday,P15
1,Sunday,P16
12,Sunday,P17
3,Sunday,P18
1,Sunday,P19
3,Sunday,P20
0,Sunday,P21
1,Sunday,P22
12,Sunday,P23
7,Sunday,P24
21,Sunday,P25
1,Sunday,P26
10,Sunday,P27
7,Sunday,P28
1,Sunday,P29
3,Sunday,P30
9,Sunday,P31
1,Sunday,P32
3,Sunday,P33
2,Sunday,P34
1,Sunday,P35
12,Sunday,P36
4,Sunday,P37
21,Sunday,P38
10,Sunday,P39
14,Sunday,P40
14,Sunday,P41
6,Sunday,P42
5,Sunday,P43
21,Sunday,P44
2,Sunday,P45
15,Sunday,P46
22,Sunday,P47
2,Monday,P0
0,Monday,P1
0,Monday,P2
0,Monday,P3
0,Monday,P4
0,Monday,P5
0,Monday,P6
1,Monday,P7
0,Monday,P8
0,Monday,P9
1,Monday,P10
0,Monday,P11
4,Monday,P12
4,Monday,P13
2,Monday,P14
19,Monday,P15
7,Monday,P16
22,Monday,P17
4,Monday,P18
12,Monday,P19
22,Monday,P20
3,Monday,P21
2,Monday,P22
24,Monday,P23
10,Monday,P24
8,Monday,P25
7,Monday,P26
18,Monday,P27
6,Monday,P28
0,Monday,P29
2,Monday,P30
23,Monday,P31
6,Monday,P32
2,Monday,P33
1,Monday,P34
17,Monday,P35
5,Monday,P36
7,Monday,P37
5,Monday,P38
11,Monday,P39
4,Monday,P40
9,Monday,P41
2,Monday,P42
10,Monday,P43
1,Monday,P44
1,Monday,P45
0,Monday,P46
4,Monday,P47
0,Tuesday,P0
1,Tuesday,P1
0,Tuesday,P2
0,Tuesday,P3
0,Tuesday,P4
0,Tuesday,P5
0,Tuesday,P6
0,Tuesday,P7
0,Tuesday,P8
1,Tuesday,P9
1,Tuesday,P10
2,Tuesday,P11
1,Tuesday,P12
3,Tuesday,P13
3,Tuesday,P14
8,Tuesday,P15
4,Tuesday,P16
23,Tuesday,P17
11,Tuesday,P18
21,Tuesday,P19
8,Tuesday,P20
3,Tuesday,P21
6,Tuesday,P22
20,Tuesday,P23
6,Tuesday,P24
3,Tuesday,P25
2,Tuesday,P26
24,Tuesday,P27
5,Tuesday,P28
1,Tuesday,P29
1,Tuesday,P30
18,Tuesday,P31
2,Tuesday,P32
3,Tuesday,P33
1,Tuesday,P34
2,Tuesday,P35
15,Tuesday,P36
11,Tuesday,P37
5,Tuesday,P38
12,Tuesday,P39
1,Tuesday,P40
14,Tuesday,P41
0,Tuesday,P42
3,Tuesday,P43
15,Tuesday,P44
1,Tuesday,P45
1,Tuesday,P46
1,Tuesday,P47
1,Wednesday,P0
0,Wednesday,P1
0,Wednesday,P2
1,Wednesday,P3
1,Wednesday,P4
0,Wednesday,P5
0,Wednesday,P6
0,Wednesday,P7
0,Wednesday,P8
0,Wednesday,P9
0,Wednesday,P10
6,Wednesday,P11
4,Wednesday,P12
1,Wednesday,P13
1,Wednesday,P14
12,Wednesday,P15
6,Wednesday,P16
31,Wednesday,P17
5,Wednesday,P18
15,Wednesday,P19
21,Wednesday,P20
2,Wednesday,P21
1,Wednesday,P22
17,Wednesday,P23
15,Wednesday,P24
5,Wednesday,P25
3,Wednesday,P26
28,Wednesday,P27
11,Wednesday,P28
1,Wednesday,P29
2,Wednesday,P30
18,Wednesday,P31
12,Wednesday,P32
6,Wednesday,P33
1,Wednesday,P34
16,Wednesday,P35
1,Wednesday,P36
17,Wednesday,P37
1,Wednesday,P38
16,Wednesday,P39
4,Wednesday,P40
18,Wednesday,P41
0,Wednesday,P42
10,Wednesday,P43
3,Wednesday,P44
2,Wednesday,P45
0,Wednesday,P46
4,Wednesday,P47
1,Thursday,P0
0,Thursday,P1
1,Thursday,P2
0,Thursday,P3
1,Thursday,P4
0,Thursday,P5
0,Thursday,P6
0,Thursday,P7
0,Thursday,P8
2,Thursday,P9
1,Thursday,P10
1,Thursday,P11
1,Thursday,P12
1,Thursday,P13
5,Thursday,P14
16,Thursday,P15
5,Thursday,P16
33,Thursday,P17
7,Thursday,P18
17,Thursday,P19
22,Thursday,P20
2,Thursday,P21
0,Thursday,P22
22,Thursday,P23
4,Thursday,P24
7,Thursday,P25
3,Thursday,P26
26,Thursday,P27
5,Thursday,P28
3,Thursday,P29
2,Thursday,P30
13,Thursday,P31
5,Thursday,P32
2,Thursday,P33
3,Thursday,P34
19,Thursday,P35
9,Thursday,P36
8,Thursday,P37
9,Thursday,P38
12,Thursday,P39
7,Thursday,P40
10,Thursday,P41
4,Thursday,P42
10,Thursday,P43
7,Thursday,P44
0,Thursday,P45
0,Thursday,P46
9,Thursday,P47
1,Friday,P0
1,Friday,P1
0,Friday,P2
0,Friday,P3
0,Friday,P4
0,Friday,P5
0,Friday,P6
0,Friday,P7
0,Friday,P8
1,Friday,P9
1,Friday,P10
2,Friday,P11
3,Friday,P12
2,Friday,P13
4,Friday,P14
2,Friday,P15
19,Friday,P16
9,Friday,P17
20,Friday,P18
16,Friday,P19
19,Friday,P20
4,Friday,P21
1,Friday,P22
12,Friday,P23
20,Friday,P24
6,Friday,P25
3,Friday,P26
14,Friday,P27
22,Friday,P28
5,Friday,P29
6,Friday,P30
6,Friday,P31
5,Friday,P32
11,Friday,P33
5,Friday,P34
9,Friday,P35
21,Friday,P36
6,Friday,P37
19,Friday,P38
5,Friday,P39
19,Friday,P40
11,Friday,P41
4,Friday,P42
4,Friday,P43
1,Friday,P44
10,Friday,P45
18,Friday,P46
2,Friday,P47
14,Saturday,P0
1,Saturday,P1
0,Saturday,P2
0,Saturday,P3
0,Saturday,P4
0,Saturday,P5
0,Saturday,P6
1,Saturday,P7
0,Saturday,P8
0,Saturday,P9
0,Saturday,P10
2,Saturday,P11
0,Saturday,P12
4,Saturday,P13
1,Saturday,P14
2,Saturday,P15
1,Saturday,P16
12,Saturday,P17
4,Saturday,P18
10,Saturday,P19
19,Saturday,P20
6,Saturday,P21
2,Saturday,P22
22,Saturday,P23
9,Saturday,P24
0,Saturday,P25
2,Saturday,P26
21,Saturday,P27
3,Saturday,P28
4,Saturday,P29
1,Saturday,P30
13,Saturday,P31
4,Saturday,P32
1,Saturday,P33
5,Saturday,P34
9,Saturday,P35
5,Saturday,P36
3,Saturday,P37
3,Saturday,P38
9,Saturday,P39
14,Saturday,P40
11,Saturday,P41
0,Saturday,P42
4,Saturday,P43
0,Saturday,P44
1,Saturday,P45
5,Saturday,P46
6,Saturday,P47
6,Sunday,P0
1,Sunday,P1
2,Sunday,P2
0,Sunday,P3
0,Sunday,P4
1,Sunday,P5
0,Sunday,P6
0,Sunday,P7
0,Sunday,P8
2,Sunday,P9
0,Sunday,P10
0,Sunday,P11
0,Sunday,P12
2,Sunday,P13
1,Sunday,P14
1,Sunday,P15
2,Sunday,P16
7,Sunday,P17
1,Sunday,P18
6,Sunday,P19
0,Sunday,P20
3,Sunday,P21
3,Sunday,P22
19,Sunday,P23
4,Sunday,P24
3,Sunday,P25
1,Sunday,P26
14,Sunday,P27
3,Sunday,P28
3,Sunday,P29
3,Sunday,P30
9,Sunday,P31
7,Sunday,P32
2,Sunday,P33
3,Sunday,P34
13,Sunday,P35
10,Sunday,P36
8,Sunday,P37
7,Sunday,P38
19,Sunday,P39
7,Sunday,P40
14,Sunday,P41
1,Sunday,P42
12,Sunday,P43
12,Sunday,P44
0,Sunday,P45
1,Sunday,P46
14,Sunday,P47
2,Monday,P0
0,Monday,P1
0,Monday,P2
0,Monday,P3
0,Monday,P4
0,Monday,P5
1,Monday,P6
1,Monday,P7
0,Monday,P8
0,Monday,P9
2,Monday,P10
2,Monday,P11
0,Monday,P12
2,Monday,P13
7,Monday,P14
14,Monday,P15
5,Monday,P16
29,Monday,P17
12,Monday,P18
18,Monday,P19
22,Monday,P20
1,Monday,P21
2,Monday,P22
13,Monday,P23
20,Monday,P24
8,Monday,P25
5,Monday,P26
23,Monday,P27
2,Monday,P28
4,Monday,P29
3,Monday,P30
23,Monday,P31
7,Monday,P32
2,Monday,P33
3,Monday,P34
16,Monday,P35
5,Monday,P36
5,Monday,P37
2,Monday,P38
5,Monday,P39
7,Monday,P40
6,Monday,P41
6,Monday,P42
4,Monday,P43
0,Monday,P44
1,Monday,P45
0,Monday,P46
7,Monday,P47
1,Tuesday,P0
1,Tuesday,P1
